Age;Sex;Ethnicity;Country_of_birth;Country_of_residence;Nationality;Language;Student_status;Employment_status
26;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
21;Male;Mixed;Germany;Germany;Germany;German;Yes;Full-Time
35;Female;White;Italy;Germany;Italy;Italian;No;Unemployed (and job seeking)
33;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
34;Female;White;Germany;Germany;Germany;German;No;Full-Time
24;Female;White;Germany;Germany;Germany;German;No;Full-Time
24;Male;White;Germany;Germany;Germany;German;No;Full-Time
34;Female;White;Germany;Germany;Germany;German;No;Part-Time
33;Female;White;Bulgaria;Germany;Germany;Bulgarian;Yes;Part-Time
24;Male;White;Greece;Germany;Greece;Greek;No;Unemployed (and job seeking)
34;Male;White;Russian Federation;Germany;Germany;German;No;Full-Time
51;Female;White;Germany;Germany;Germany;German;No;Part-Time
26;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
33;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
25;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
32;Male;White;Germany;Germany;Germany;German;No;Full-Time
32;Female;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
38;Male;White;Germany;Germany;Germany;German;No;Full-Time
32;Female;White;Bosnia and Herzegovina;Germany;Bosnia and Herzegovina;Croatian;No;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Other
34;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
38;Male;White;Germany;Germany;Germany;German;No;Other
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
47;Male;White;Germany;Germany;Germany;German;No;Part-Time
20;Female;White;Germany;Germany;Germany;German;Yes;Due to start a new job within the next month
36;Female;White;Germany;Germany;Germany;German;No;Part-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
47;Female;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
57;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
36;Female;Asian;Malaysia;Germany;Malaysia;Chinese;Yes;Full-Time
23;Female;Other;Peru;Germany;Peru;Spanish;Yes;Full-Time
22;Male;White;Greece;Germany;Greece;Greek;Yes;Part-Time
29;Female;White;Ukraine;Germany;Ukraine;Ukrainian;No;Full-Time
34;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
31;Female;White;Czech Republic;Germany;Czech Republic;Czech;No;Full-Time
23;Male;Mixed;Germany;Germany;Germany;German;No;Full-Time
37;Female;White;Germany;Germany;Germany;German;No;Part-Time
18;Male;Asian;India;Germany;India;English;Yes;Other
35;Female;White;Germany;Germany;Germany;German;No;Part-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Male;White;Germany;Germany;Germany;German;Yes;Due to start a new job within the next month
43;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
19;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;Black;Germany;Germany;Germany;German;Yes;Due to start a new job within the next month
20;Female;White;Germany;Germany;Germany;German;Yes;Other
36;Female;Asian;Bangladesh;Germany;Bangladesh;English;No;Full-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
18;Female;White;Germany;Germany;Germany;English;Yes;Unemployed (and job seeking)
33;Male;White;Kazakhstan;Germany;Germany;German;No;Full-Time
21;Male;Mixed;Turkey;Germany;Cyprus;Turkish;Yes;Unemployed (and job seeking)
25;Male;White;Poland;Germany;Poland;Polish;Yes;Unemployed (and job seeking)
23;Male;White;Germany;Germany;Moldova;German;No;Other
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
57;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
28;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Due to start a new job within the next month
56;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
33;Female;Asian;Pakistan;Germany;Pakistan;Urdu;Yes;Full-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Male;Mixed;Germany;Germany;Turkey;Turkish;No;Full-Time
32;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
28;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
39;Female;White;Ukraine;Germany;Ukraine;Russian;No;Unemployed (and job seeking)
26;Female;White;Ukraine;Germany;Ukraine;Russian;No;Part-Time
23;Male;White;Germany;Germany;Germany;German;No;Full-Time
45;Male;White;Macedonia;Germany;Macedonia;English;No;Full-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
38;Female;Other;United Kingdom;Germany;United Kingdom;English;Yes;Full-Time
25;Male;Asian;Bangladesh;Germany;Bangladesh;Bengali;Yes;Full-Time
28;Female;Asian;Germany;Germany;Germany;German;Yes;Other
33;Male;Black;Kenya;Germany;Kenya;English;Yes;Part-Time
30;Female;White;Germany;Germany;Germany;German;No;Full-Time
27;Female;White;Germany;Germany;Germany;German;No;Part-Time
35;Female;Mixed;United States;Germany;United States;Spanish;No;Unemployed (and job seeking)
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;White;Russian Federation;Germany;Russian Federation;German;Yes;Full-Time
21;Male;Mixed;Germany;Germany;Germany;German;Yes;Part-Time
26;Female;White;Portugal;Germany;Portugal;Portuguese;Yes;Part-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
27;Female;White;Germany;Germany;Germany;Turkish;Yes;Full-Time
22;Female;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;Germany;Germany;Germany;English;No;Full-Time
20;Male;Asian;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
35;Male;White;Turkey;Germany;Turkey;Turkish;No;Part-Time
34;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
24;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
24;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
25;Female;Asian;Germany;Germany;Germany;Vietnamese;No;Unemployed (and job seeking)
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;Mixed;Turkey;Germany;Germany;German;Yes;Part-Time
20;Male;Other;Germany;Germany;Germany;German;No;Part-Time
21;Male;Other;Israel;Germany;Israel;Arabic;Yes;Full-Time
22;Female;Mixed;Germany;Germany;Germany;German;Yes;Other
25;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Due to start a new job within the next month
23;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
40;Male;White;Turkey;Germany;Germany;German;No;Full-Time
34;Male;White;Turkey;Germany;Turkey;English;No;Full-Time
28;Male;White;Germany;Germany;Germany;German;Yes;Other
30;Male;White;Tajikistan;Germany;Germany;Russian;Yes;Part-Time
28;Female;Other;Turkey;Germany;Turkey;Turkish;No;Unemployed (and job seeking)
19;Female;Mixed;Germany;Germany;Germany;German;No;Full-Time
22;Female;White;Germany;Germany;Germany;German;Yes;Other
37;Male;Mixed;Germany;Germany;Germany;German;No;Full-Time
22;Male;White;Germany;Germany;Germany;German;Yes;Other
26;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
22;Male;White;Hungary;Germany;Hungary;Hungarian;No;Unemployed (and job seeking)
23;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
27;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
51;Male;White;Germany;Germany;Turkey;Turkish;Yes;Full-Time
35;Male;White;Ukraine;Germany;Germany;German;No;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
29;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
21;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Due to start a new job within the next month
29;Male;White;Germany;Germany;Germany;German;No;Part-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
31;Female;White;Italy;Germany;Italy;Italian;Yes;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Part-Time
32;Male;White;Germany;Germany;Germany;German;No;Full-Time
54;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
39;Male;White;Serbia;Germany;Serbia;Serbian;No;Full-Time
34;Male;Black;Germany;Germany;Germany;German;No;Part-Time
25;Male;Other;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
46;Female;White;Estonia;Germany;Germany;German;No;Full-Time
29;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
28;Female;White;Belarus;Germany;Germany;Russian;No;Full-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Male;White;Serbia;Germany;Germany;German;Yes;Full-Time
25;Male;White;Germany;Germany;Germany;German;No;Full-Time
36;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
34;Female;White;Germany;Germany;Germany;German;No;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
44;Female;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
21;Male;White;Germany;Germany;Germany;German;Yes;Other
33;Male;White;Germany;Germany;Croatia;German;No;Full-Time
29;Male;Black;Kenya;Germany;Kenya;English;No;Full-Time
40;Male;White;Germany;Germany;Germany;German;No;Full-Time
29;Male;Asian;Germany;Germany;Germany;German;Yes;Part-Time
38;Male;Other;Egypt;Germany;Egypt;Arabic;No;Full-Time
53;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
28;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
29;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
18;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
22;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Female;White;Brazil;Germany;Brazil;Portuguese;No;Unemployed (and job seeking)
27;Male;White;Netherlands;Germany;Germany;German;Yes;Full-Time
23;Female;White;Australia;Germany;Australia;English;No;Full-Time
28;Male;Mixed;United States;Germany;United States;English;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;Yes;Other
38;Male;White;Germany;Germany;Germany;German;Yes;Other
28;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
38;Male;White;Germany;Germany;Germany;German;No;Full-Time
37;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
60;Male;White;Germany;Germany;Germany;German;No;Part-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
30;Female;White;Italy;Germany;Italy;Italian;Yes;Full-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
43;Male;Mixed;Germany;Germany;Germany;German;No;Part-Time
34;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
19;Female;White;Germany;Germany;Germany;German;Yes;Other
19;Female;White;Latvia;Germany;Latvia;Latvian;Yes;Full-Time
24;Female;White;United States;Germany;United States;German;Yes;Full-Time
28;Female;Other;Guatemala;Germany;Guatemala;Spanish;Yes;Other
31;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
24;Female;White;Germany;Germany;Germany;German;Yes;Other
36;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
25;Male;White;Germany;Germany;Turkey;German;Yes;Full-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
18;Male;Asian;Indonesia;Germany;Indonesia;Indonesian;Yes;Other
19;Male;White;Germany;Germany;Germany;German;Yes;Other
30;Male;White;Greece;Germany;Greece;Greek;No;Full-Time
25;Male;Mixed;Germany;Germany;Turkey;German;Yes;Part-Time
22;Male;White;Poland;Germany;Germany;Polish;No;Part-Time
27;Male;White;Germany;Germany;Germany;German;No;Full-Time
24;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
40;Female;White;Norway;Germany;Norway;Norwegian;No;Full-Time
31;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
34;Male;Asian;Turkey;Germany;Turkey;Turkish;No;Full-Time
26;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
24;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
38;Female;Other;Iran;Germany;Iran;Farsi;Yes;Part-Time
36;Female;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
28;Female;Asian;Nepal;Germany;Nepal;Nepali;Yes;Unemployed (and job seeking)
33;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
54;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
33;Female;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
22;Female;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
18;Female;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
38;Male;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Other
22;Male;Black;Nigeria;Germany;Nigeria;English;Yes;Unemployed (and job seeking)
40;Male;White;Bulgaria;Germany;Bulgaria;Turkish;No;Unemployed (and job seeking)
33;Male;White;Turkey;Germany;Turkey;Turkish;No;Part-Time
54;Male;White;Switzerland;Germany;Switzerland;German;No;Full-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
38;Female;Other;Iran;Germany;Iran;Farsi;Yes;Unemployed (and job seeking)
27;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
39;Female;White;Germany;Germany;Germany;German;No;Full-Time
22;Male;Asian;Germany;Germany;Germany;German;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;German;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
21;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
31;Male;Other;Turkey;Germany;Turkey;Turkish;No;Unemployed (and job seeking)
38;Male;White;Syrian Arab Republic;Germany;Germany;Arabic;Yes;Full-Time
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
46;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Female;White;Turkey;Germany;Turkey;Turkish;No;Due to start a new job within the next month
38;Male;White;Germany;Germany;Germany;German;No;Due to start a new job within the next month
28;Female;Asian;Pakistan;Germany;Pakistan;English;No;Full-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
45;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Female;White;Germany;Germany;Croatia;Croatian;Yes;Full-Time
24;Male;White;Germany;Germany;Germany;German;No;Full-Time
19;Male;White;Germany;Germany;Germany;German;Yes;Other
30;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
33;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
22;Male;Asian;Germany;Germany;Germany;German;Yes;Full-Time
35;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
46;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;Mixed;Germany;Germany;Germany;German;Yes;Full-Time
32;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
57;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;Germany;Germany;Croatia;German;No;Full-Time
34;Female;White;Germany;Germany;Germany;German;No;Full-Time
22;Male;Mixed;Germany;Germany;Germany;German;No;Part-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Female;White;Germany;Germany;Germany;Turkish;No;Full-Time
21;Male;Other;Nepal;Germany;Nepal;Nepali;Yes;Full-Time
20;Male;White;Germany;Germany;Germany;German;Yes;Other
39;Female;White;Germany;Germany;Germany;German;No;Full-Time
34;Female;White;Germany;Germany;Germany;Turkish;No;Full-Time
25;Male;White;Russian Federation;Germany;Russian Federation;Russian;Yes;Other
39;Male;Other;Iran;Germany;Germany;Farsi;No;Full-Time
29;Female;Other;Germany;Germany;Germany;Turkish;Yes;Other
27;Female;White;Poland;Germany;Poland;Polish;No;Full-Time
63;Female;White;Germany;Germany;Germany;German;No;Other
36;Female;White;United States;Germany;United States;English;Yes;Full-Time
22;Female;White;Germany;Germany;Germany;German;Yes;Other
35;Female;White;Turkey;Germany;Turkey;Turkish;No;Unemployed (and job seeking)
45;Male;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
22;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
27;Female;White;Germany;Germany;Germany;German;No;Part-Time
38;Male;Asian;Nepal;Germany;Nepal;Nepali;No;Part-Time
35;Female;White;Germany;Germany;Germany;Italian;No;Part-Time
28;Male;White;Germany;Germany;Germany;German;No;Full-Time
30;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Other
39;Female;White;Germany;Germany;Germany;German;No;Full-Time
29;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
30;Male;Mixed;Germany;Germany;Germany;English;No;Full-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
28;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Due to start a new job within the next month
30;Female;Other;Turkey;Germany;Turkey;Turkish;No;Full-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
21;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
28;Male;Asian;China;Germany;China;Chinese;Yes;Full-Time
37;Male;White;Albania;Germany;Greece;Greek;No;Full-Time
40;Male;White;Portugal;Germany;Portugal;Portuguese;No;Full-Time
25;Female;White;Germany;Germany;Germany;German;No;Full-Time
68;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
21;Female;Other;Germany;Germany;Germany;English;Yes;Unemployed (and job seeking)
28;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
27;Female;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
25;Female;Black;Ghana;Germany;Ghana;English;Yes;Full-Time
19;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
24;Female;White;France;Germany;France;Turkish;Yes;Part-Time
33;Female;Mixed;Mexico;Germany;Mexico;Spanish;No;Full-Time
33;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
32;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Male;Black;Uganda;Germany;Uganda;English;Yes;Full-Time
34;Female;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Female;White;Azerbaijan;Germany;Azerbaijan;German;Yes;Unemployed (and job seeking)
30;Female;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
39;Female;White;Croatia;Germany;Croatia;Croatian;No;Full-Time
19;Male;Other;Turkey;Germany;Turkey;Turkish;Yes;Other
23;Female;Mixed;Turkey;Germany;Germany;German;Yes;Full-Time
42;Male;White;Germany;Germany;Germany;German;No;Full-Time
22;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
18;Male;White;Germany;Germany;Germany;German;Yes;Other
24;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
31;Female;Mixed;Russian Federation;Germany;Russian Federation;Russian;No;Full-Time
22;Male;Other;Germany;Germany;Lebanon;German;Yes;Full-Time
26;Female;White;Germany;Germany;Germany;German;No;Full-Time
29;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
25;Female;Black;Zimbabwe;Germany;Zimbabwe;English;Yes;Unemployed (and job seeking)
30;Male;Asian;India;Germany;India;English;Yes;Full-Time
25;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
37;Female;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;Mixed;Colombia;Germany;Germany;Spanish;No;Part-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
30;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Unemployed (and job seeking)
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
41;Female;White;Germany;Germany;Germany;German;No;Full-Time
21;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
29;Female;White;Turkey;Germany;Germany;Kurdish;Yes;Part-Time
29;Male;Black;Somalia;Germany;Somalia;English;No;Full-Time
47;Female;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
27;Male;White;Germany;Germany;Turkey;Turkish;Yes;Part-Time
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
34;Male;White;United Kingdom;Germany;United Kingdom;English;No;Full-Time
26;Male;Asian;China;Germany;China;Chinese;Yes;Unemployed (and job seeking)
34;Female;Other;Peru;Germany;Peru;Spanish;Yes;Part-Time
28;Male;White;Germany;Germany;Germany;German;No;Full-Time
34;Male;White;Germany;Germany;Germany;German;No;Full-Time
40;Male;Other;Turkey;Germany;Turkey;Turkish;No;Part-Time
50;Male;White;Germany;Germany;Germany;German;No;Full-Time
19;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
31;Male;Asian;Germany;Germany;Germany;German;No;Full-Time
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
34;Female;White;Russian Federation;Germany;Russian Federation;English;No;Part-Time
38;Male;White;Germany;Germany;Germany;German;No;Full-Time
28;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
38;Female;White;United States;Germany;United States;English;Yes;Full-Time
39;Male;White;Bosnia and Herzegovina;Germany;Serbia;Serbian;No;Full-Time
28;Female;White;Germany;Germany;Germany;German;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
28;Female;Other;Azerbaijan;Germany;Azerbaijan;Other;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
27;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
38;Female;White;Poland;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
20;Female;Other;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
26;Male;White;Germany;Germany;Germany;German;Yes;Other
27;Female;White;Germany;Germany;Germany;German;No;Full-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
32;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Female;White;Iran;Germany;Iran;Farsi;Yes;Part-Time
43;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
23;Female;White;Albania;Germany;Albania;Albanian;Yes;Part-Time
26;Male;White;Germany;Germany;Germany;German;No;Full-Time
42;Male;White;Hungary;Germany;Hungary;Hungarian;No;Full-Time
32;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
29;Male;Mixed;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
29;Male;Other;Turkey;Germany;Turkey;Turkish;No;Full-Time
25;Female;Asian;Mauritius;Germany;Mauritius;French;Yes;Part-Time
25;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
46;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
33;Female;White;Poland;Germany;Poland;Polish;Yes;Full-Time
66;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;White;Germany;Germany;Germany;German;No;Full-Time
19;Male;Other;Lebanon;Germany;Lebanon;Arabic;Yes;Other
45;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
33;Male;White;Germany;Germany;Germany;German;No;Full-Time
32;Male;Asian;India;Germany;India;English;Yes;Full-Time
38;Female;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
18;Female;White;Germany;Germany;Germany;German;No;Other
33;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;White;Argentina;Germany;Argentina;Spanish;Yes;Part-Time
61;Male;White;Germany;Germany;Germany;German;No;Full-Time
24;Female;White;Germany;Germany;Germany;German;No;Full-Time
21;Male;White;Ukraine;Germany;Germany;German;Yes;Full-Time
35;Male;Mixed;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
20;Female;Asian;Germany;Germany;Sri Lanka;English;Yes;Part-Time
31;Male;White;Germany;Germany;Germany;German;No;Part-Time
36;Male;Mixed;Turkey;Germany;Turkey;Kurdish;No;Full-Time
25;Male;White;Germany;Germany;Germany;German;No;Full-Time
19;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
22;Male;Asian;Germany;Germany;Germany;German;Yes;Full-Time
19;Female;White;Ukraine;Germany;Ukraine;Russian;No;Unemployed (and job seeking)
47;Male;White;Turkey;Germany;Turkey;Turkish;No;Unemployed (and job seeking)
23;Female;Asian;India;Germany;India;Telugu;Yes;Full-Time
37;Male;White;Turkey;Germany;Germany;Turkish;No;Full-Time
34;Male;Black;Zimbabwe;Germany;Zimbabwe;English;No;Full-Time
28;Male;White;Germany;Germany;Germany;German;No;Full-Time
37;Female;Mixed;Canada;Germany;Canada;English;No;Full-Time
31;Male;White;Germany;Germany;Germany;German;No;Full-Time
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Female;White;Germany;Germany;Germany;German;No;Full-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Other
19;Male;White;Albania;Germany;Albania;Albanian;Yes;Full-Time
31;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
33;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
21;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
56;Female;White;Germany;Germany;Germany;German;No;Full-Time
36;Male;Mixed;Turkey;Germany;Turkey;Turkish;No;Full-Time
25;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Unemployed (and job seeking)
41;Female;White;Germany;Germany;Germany;German;No;Part-Time
29;Female;Asian;Hong Kong;Germany;United Kingdom;Cantonese;Yes;Part-Time
22;Female;White;Germany;Germany;Germany;Russian;No;Full-Time
